what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1376108823662
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1376108823663
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1376108823663
os,sysinfo,,,"win32",1376108823667
arch,sysinfo,,,"x86_64",1376108823667
ws,sysinfo,,,"win32",1376108823667
locale,sysinfo,,,"en_US",1376108823667
processors,sysinfo,,,"6",1376108823667
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1376108823667
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1376108823667
java.specification.name,sysinfo,,,"Java Platform API Specification",1376108823667
java.specification.vendor,sysinfo,,,"Oracle Corporation",1376108823667
java.specification.version,sysinfo,,,"1.7",1376108823667
java.vendor,sysinfo,,,"Oracle Corporation",1376108823667
java.version,sysinfo,,,"1.7.0_25",1376108823667
java.vm.info,sysinfo,,,"mixed mode",1376108823667
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1376108823667
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1376108823667
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1376108823667
java.vm.specification.version,sysinfo,,,"1.7",1376108823667
java.vm.vendor,sysinfo,,,"Oracle Corporation",1376108823667
java.vm.version,sysinfo,,,"23.25-b01",1376108823667
deactivated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1376108880644
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1376108889176
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1376108889187
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1376108889276
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1376108889277
activated,workbench,org.eclipse.ui.workbench,3.105.0.v20130529-1406,"",1376108890486
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.300.v20130503-1750,"org.eclipse.equinox.p2.ui.sdk",1376108897631
started,bundle,org.eclipse.equinox.p2.ui,2.3.0.v20130528-2154,"org.eclipse.equinox.p2.ui",1376108897658
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.1.0.v20130516-1858,"org.eclipse.equinox.p2.transport.ecf",1376108897750
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20130604-1622,"org.eclipse.ecf.filetransfer",1376108897770
started,bundle,org.eclipse.ecf.identity,3.2.0.v20130604-1622,"org.eclipse.ecf.identity",1376108897785
started,bundle,org.eclipse.ecf,3.2.0.v20130604-1622,"org.eclipse.ecf",1376108897831
